conflict_density,lambda,policy,n_trials,kappa_mean,kappa_stderr,continuity_mean,continuity_stderr,writedown_mean,writedown_stderr
0.0,0.0,acquirer_supreme,500,1.0,0.0,1.0,0.0,0.0,0.0
0.0,0.0,negotiated,500,1.0,0.0,1.0,0.0,0.0,0.0
0.0,0.05,acquirer_supreme,500,1.0,0.0,1.0,0.0,0.0,0.0
0.0,0.05,negotiated,500,1.0,0.0,1.0,0.0,0.0,0.0
0.0,0.1,acquirer_supreme,500,1.0,0.0,1.0,0.0,0.0,0.0
0.0,0.1,negotiated,500,1.0,0.0,1.0,0.0,0.0,0.0
0.0,0.5,acquirer_supreme,500,1.0,0.0,1.0,0.0,0.0,0.0
0.0,0.5,negotiated,500,1.0,0.0,1.0,0.0,0.0,0.0
0.1,0.0,acquirer_supreme,500,0.9292699999999999,0.0006164366864299634,0.9848448338930379,0.00038224962310546266,0.015155166106962202,0.00038224962310546266
0.1,0.0,negotiated,500,0.928015,0.0006259218051900928,0.9895853672531525,0.0002651418903460931,0.010414632746847417,0.00026514189034609306
0.1,0.05,acquirer_supreme,500,0.9280450000000001,0.000598160967538147,0.985839269285202,0.0004082804850797073,0.01416073071479794,0.0004082804850797071
0.1,0.05,negotiated,500,0.9277350000000001,0.0006567931977488942,0.9902000605898472,0.0002478314661053251,0.009799939410152841,0.0002478314661053252
0.1,0.1,acquirer_supreme,500,0.92679,0.0006274385693568995,0.9857122391159137,0.00040782743467570806,0.014287760884086339,0.00040782743467570785
0.1,0.1,negotiated,500,0.928805,0.0006569109635468538,0.9901323896031,0.0002641900181000482,0.00986761039689999,0.0002641900181000482
0.1,0.5,acquirer_supreme,500,0.9274199999999999,0.0006526784647563554,0.9855939874376134,0.0004937469913381932,0.014406012562386748,0.0004937469913381929
0.1,0.5,negotiated,500,0.9283199999999999,0.0006420121175789721,0.9918422050148715,0.0002653976985684836,0.008157794985128426,0.00026539769856848356
0.2,0.0,acquirer_supreme,500,0.87512,0.0008068290688197749,0.9710430630835558,0.000563765989955195,0.02895693691644412,0.000563765989955195
0.2,0.0,negotiated,500,0.8725899999999999,0.0008281941869045235,0.9805013879382675,0.00037914260499903433,0.019498612061732444,0.0003791426049990343
0.2,0.05,acquirer_supreme,500,0.87476,0.0008513426858424726,0.9717694332986028,0.0005487342484425102,0.028230566701397387,0.0005487342484425102
0.2,0.05,negotiated,500,0.8733,0.0008881991868895073,0.9807740036272884,0.0003918062906259277,0.019225996372711704,0.0003918062906259277
0.2,0.1,acquirer_supreme,500,0.8746499999999999,0.0008954376679783292,0.9719775273610041,0.0005526161386200893,0.028022472638995963,0.0005526161386200893
0.2,0.1,negotiated,500,0.8737699999999999,0.0009337655145014427,0.981197525713763,0.00038023946127280125,0.018802474286237023,0.00038023946127280125
0.2,0.5,acquirer_supreme,500,0.873635,0.0008880742659280285,0.9706589407732881,0.0007252337450384222,0.029341059226712006,0.0007252337450384222
0.2,0.5,negotiated,500,0.8746649999999999,0.0008528806251295914,0.9853696975182765,0.00037445947955642577,0.014630302481723369,0.0003744594795564257
0.5,0.0,acquirer_supreme,500,0.76446,0.0011101719522340016,0.9274487605168238,0.0009231003981226808,0.07255123948317625,0.0009231003981226808
0.5,0.0,negotiated,500,0.7638349999999999,0.001044002122058056,0.9600373875514535,0.0005176431824761224,0.03996261244854648,0.0005176431824761224
0.5,0.05,acquirer_supreme,500,0.76671,0.0011071826890870487,0.9291456027125337,0.000868126263116755,0.07085439728746626,0.000868126263116755
0.5,0.05,negotiated,500,0.76654,0.0011035590083769602,0.9605260657340209,0.000549602979686063,0.03947393426597908,0.000549602979686063
0.5,0.1,acquirer_supreme,500,0.7663899999999999,0.0010875437014691459,0.9273451267036746,0.0009332342557240483,0.0726548732963254,0.0009332342557240483
0.5,0.1,negotiated,500,0.7651950000000001,0.001033554749803649,0.9614440787092057,0.0005284039250178117,0.038555921290794354,0.0005284039250178117
0.5,0.5,acquirer_supreme,500,0.767785,0.00100323252588919,0.9289171562995553,0.0011672315875986847,0.07108284370044479,0.0011672315875986847
0.5,0.5,negotiated,500,0.7640950000000001,0.0010666829778103245,0.9685520489299164,0.0005341197289497003,0.03144795107008357,0.0005341197289497003
0.9,0.0,acquirer_supreme,500,0.6723450000000001,0.0011738751704639056,0.8682513963306383,0.001356816518157811,0.13174860366936175,0.0013568165181578112
0.9,0.0,negotiated,500,0.6743299999999999,0.0011835767435260083,0.9411411545225,0.0006168475676192509,0.058858845477499915,0.000616847567619251
0.9,0.05,acquirer_supreme,500,0.6732850000000001,0.0011588046454915626,0.8702781898188814,0.0013531405598849887,0.12972181018111867,0.0013531405598849887
0.9,0.05,negotiated,500,0.67322,0.0010877175455594322,0.9416170184124023,0.0006372012003219862,0.05838298158759759,0.0006372012003219862
0.9,0.1,acquirer_supreme,500,0.6745350000000001,0.001108806318933028,0.8708713288018992,0.001342408794129108,0.12912867119810073,0.001342408794129108
0.9,0.1,negotiated,500,0.6737449999999999,0.0011535972100547454,0.9422341133937441,0.0006289741925630652,0.0577658866062559,0.0006289741925630655
0.9,0.5,acquirer_supreme,500,0.6736449999999999,0.0010003521173653981,0.8724070313106075,0.0015361884359397565,0.1275929686893925,0.0015361884359397565
0.9,0.5,negotiated,500,0.6741,0.0011754119219970272,0.9518600370933528,0.0006420732237911112,0.04813996290664723,0.0006420732237911112
