case_id,stratum,role,cik,form,accession,chars,status
P082,joint_venture,gap_prone,831259,8-K,0001193125-14-413217,123704,ok
P083,joint_venture,gap_prone,29915,10-K,0001193125-11-040023,783836,ok
P084,joint_venture,gap_prone,101778,8-K,0001193125-11-151791,213268,ok
P085,joint_venture,gap_prone,732712,8-K,0001193125-11-194187,37583,ok
P086,joint_venture,gap_prone,1166691,10-K,0001193125-11-047243,444287,ok
P087,joint_venture,gap_prone,24741,8-K,0001299933-12-000243,2834,ok
P088,joint_venture,gap_prone,1163165,10-K,0000950123-11-016957,584584,ok
P089,roll_up,gap_prone,1360604,8-K,0001360604-14-000020,123630,ok
P090,roll_up,gap_prone,945436,8-K,0001193125-16-600567,67947,ok
P091,roll_up,gap_prone,1307748,8-K,0001104659-07-048468,129492,ok
P092,roll_up,gap_prone,1000623,8-K,0001000623-13-000116,3497,ok
P093,roll_up,gap_prone,1252849,10-K,0001193125-09-068884,348556,ok
P094,roll_up,gap_prone,1662972,8-K,0001193125-17-236870,137785,ok
P095,roll_up,gap_prone,1345126,8-K,0001345126-18-000037,16157,ok
P096,roll_up,gap_prone,1464720,8-K,0001193125-14-110223,60756,ok
P097,roll_up,gap_prone,924901,8-K,0001104659-16-135131,3995,ok
P098,roll_up,gap_prone,1464423,8-K,0001564590-17-008429,509844,ok
P099,roll_up,gap_prone,1455650,8-K,0001193125-18-029391,18836,ok
P100,roll_up,gap_prone,1540047,8-K,0001104659-16-106466,38465,ok
P101,roll_up,gap_prone,1327978,8-K,0001327978-16-000021,6506,ok
P102,roll_up,gap_prone,1498547,10-K,0001498547-13-000024,397735,ok
P103,roll_up,gap_prone,1468516,10-K,0001193125-10-045310,427088,ok
P104,roll_up,gap_prone,1224608,8-K,0001224608-10-000028,17129,ok
P105,roll_up,gap_prone,1020569,8-K,0001020569-18-000052,23004,ok
P106,roll_up,gap_prone,1604416,8-K,0001104659-16-126429,2920,ok
P107,roll_up,gap_prone,923284,10-K,0001104659-12-012808,411773,ok
P108,roll_up,gap_prone,1313918,8-K,0001299933-08-003494,15979,ok
P109,roll_up,gap_prone,1069258,8-K,0001047469-11-000539,87704,ok
P110,roll_up,gap_prone,1421182,8-K,0001193125-16-440657,591609,ok
P111,roll_up,gap_prone,1490626,10-K,0001490626-13-000027,387424,ok
P112,roll_up,gap_prone,1498021,8-K,0001104659-16-133094,83537,ok
P113,roll_up,gap_prone,47129,8-K,0001104659-09-046576,87540,ok
P114,roll_up,gap_prone,1525287,8-K,0001525287-17-000045,17172,ok
P115,roll_up,gap_prone,1364479,8-K,0001104659-09-046575,87540,ok
P116,roll_up,gap_prone,1308606,10-K,0001308606-13-000004,500021,ok
P117,roll_up,gap_prone,1091862,8-K,0001144204-09-032752,30518,ok
P118,roll_up,gap_prone,915862,8-K,0000915862-13-000041,6989,ok
P119,roll_up,gap_prone,746515,8-K,0000746515-14-000023,24347,ok
P120,roll_up,gap_prone,1425923,10-K,0001425923-13-000003,581704,ok
P121,roll_up,gap_prone,1564657,8-K,0001193125-18-029397,14667,ok
P122,roll_up,gap_prone,1390213,8-K,0001104659-18-065167,6244,ok
P123,roll_up,gap_prone,1455271,8-K,0001455271-14-000027,16489,ok
P124,roll_up,gap_prone,1222840,8-K,0001104659-10-052516,96995,ok
P125,roll_up,gap_prone,1468010,8-K,0001468010-14-000044,145841,ok
P126,roll_up,gap_prone,1314152,8-K,0001314152-15-000067,4030,ok
P127,roll_up,gap_prone,1567925,8-K,0001567925-17-000124,3428,ok
P128,roll_up,gap_prone,1665918,S-1,0001193125-16-455364,855746,ok
P129,roll_up,gap_prone,1590714,8-K,0001171843-15-002760,22556,ok
P130,roll_up,gap_prone,895655,8-K,0001193125-15-402097,21779,ok
P131,roll_up,gap_prone,1533932,8-K,0001193125-17-281198,785053,ok
P132,roll_up,gap_prone,1378992,10-K,0000919465-12-000024,305805,ok
P133,distressed,gap_prone,96289,8-K,0001193125-15-044358,520429,ok
P134,distressed,gap_prone,1563407,8-K,0001104659-15-068981,166350,ok
P135,distressed,gap_prone,29669,8-K,0001193125-09-109081,18331,ok
P136,distressed,gap_prone,837173,8-K,0001104659-15-051290,280708,ok
P137,distressed,gap_prone,1001082,8-K,0001104659-13-055868,510269,ok
P138,distressed,gap_prone,1588238,8-K,0001193125-16-543288,144115,ok
P139,distressed,gap_prone,1548691,8-K,0001193125-15-292359,53352,ok
P140,distressed,gap_prone,1060990,8-K,0001060990-15-000090,41713,ok
P141,distressed,gap_prone,1297720,8-K,0001019687-14-003342,233144,ok
